         473432 function calls (468070 primitive calls) in 1.621 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.010    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:653(__init__)
      228    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:175(_type_check)
      317    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_receivebuffer.py:53(__iadd__)
      187    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      197    0.000    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:104(attrib)
      192    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:61(copy)
      254    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
     3429    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
    195/4    0.000    0.000    0.106    0.026 <frozen importlib._bootstrap>:911(_load_unlocked)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      614    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     2192    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      550    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_decoders.py:237(decode)
      317    0.000    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_receivebuffer.py:57(__bool__)
     1489    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      353    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
     2539    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:127(clear_cdata_mode)
      278    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_connection.py:248(_server_switch_event)
     2192    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      124    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/functools.py:35(update_wrapper)
     1225    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      270    0.000    0.000    0.007    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_decoders.py:95(decode)
       23    0.000    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_receivebuffer.py:104(maybe_extract_lines)
      187    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      200    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      425    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      197    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:2613(__init__)
       43    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:254(__set_name__)
      286    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
      548    0.000    0.000    0.000    0.000 <string>:2(__eq__)
      115    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
       72    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1123(_generic_init_subclass)
      251    0.000    0.000    0.011    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:211(_compile_and_eval)
       89    0.000    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/dataclasses.py:449(_create_fn)
        5    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_headers.py:150(normalize_and_validate)
       43    0.000    0.000    0.004    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:1699(_make_repr)
       96    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
      276    0.000    0.000    0.176    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpcore/_sync/http11.py:330(__iter__)
     1741    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
       21    0.000    0.000    0.003    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_readers.py:94(maybe_read_from_SEND_RESPONSE_server)
       63    0.000    0.000    0.003    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:1868(_make_init)
       51    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:694(Union)
      761    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:168(__getitem__)
  312/299    0.000    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:392(inner)
      561    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      374    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    187/4    0.000    0.000    0.105    0.026 <frozen importlib._bootstrap_external>:993(exec_module)
      276    0.000    0.000    0.176    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_transports/default.py:125(__iter__)
       64    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1074(_generic_class_getitem)
   151/51    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:178(getwidth)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      276    0.000    0.000    0.176    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_client.py:152(__iter__)
       11    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_models.py:144(__init__)
      195    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      276    0.000    0.000    0.176    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpcore/_sync/connection_pool.py:401(__iter__)
      187    0.000    0.000    0.008    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:220(_make_method)
